Name,Display Name,XML Attribute,Type,Enum Values,Behavior,Notes
DisplayName,Criteria Display Name,criteriaDisplayName,String,,Attribute,
IsBidOnPath,Added,added,boolean,,Attribute,
IsPathExcluded,Excluded,excluded,boolean,,Attribute,
AccountCurrencyCode,Currency,currency,String,,Attribute,
AccountDescriptiveName,Account,account,String,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdFormat,Ad type,adType,AdFormat,,Segment,
AdGroupId,Ad group ID,adGroupID,Long,,Attribute,
AdGroupName,Ad group,adGroup,String,,Attribute,
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,,Attribute,
AdNetworkType1,Network,network,AdNetworkType1,,Segment,
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,,Segment,
AverageCpc,Avg. CPC,avgCPC,Money,,Metric,
AverageCpm,Avg. CPM,avgCPM,Money,,Metric,
CampaignId,Campaign ID,campaignID,Long,,Attribute,
CampaignName,Campaign,campaign,String,,Attribute,
CampaignStatus,Campaign state,campaignState,CampaignStatus,,Attribute,
Clicks,Clicks,clicks,Long,,Metric,
ConversionCategoryName,Conversion category,conversionCategory,String,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc). Prevents zero-conversion rows from being returned.  Values: ""Other"", ""View of a key page"", ""Purchase/Sale"", ""Signup"", ""Lead""
"
ConversionRate,Click conversion rate,clickConversionRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
Conversions,Converted clicks,convertedClicks,Long,,Metric,
ConversionsManyPerClick,Conversions,conversions,Long,,Metric,
ConversionTypeName,Conversion name,conversionName,String,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc).  Prevents zero-conversion rows from being returned.
"
ConversionValue,Total conv. value,totalConvValue,Long,,Metric,"The HTTP header returnMoneyInMicros does not affect this field.
"
Cost,Cost,cost,Money,,Metric,
CostPerConversion,Cost / converted click,costConvertedClick,Money,,Metric,
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,,Metric,
CriteriaParameters,URL,url,String,,Attribute,"In the Destination URL report, this field behaves as a segment.
"
Ctr,CTR,ctr,Double,,Metric,"Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,,Attribute,
Date,Day,day,Date,,Segment,"Prevents zero-impression rows from being returned.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,,Segment,"Prevents zero-impression rows from being returned.
"
Domain,Domain,domain,String,,Attribute,
ExternalCustomerId,Customer ID,customerID,Long,,Attribute,
Impressions,Impressions,impressions,Long,,Metric,
IsAutoOptimized,Targeting Mode,targetingMode,boolean,,Attribute,
Month,Month,month,String,,Segment,"Prevents zero-impression rows from being returned.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,,Segment,"Prevents zero-impression rows from being returned.
"
PrimaryCompanyName,Company name,companyName,String,,Attribute,
PrimaryUserLogin,Login email,loginEmail,String,,Attribute,
Quarter,Quarter,quarter,String,,Segment,"Prevents zero-impression rows from being returned.
"
TotalConvValue,Total conv. value,totalConvValue,Long,,Metric,"The HTTP header returnMoneyInMicros does not affect this field.
"
ValuePerConv,Value / converted click,valueConvertedClick,Double,,Metric,
ValuePerConversion,Value / converted click,valueConvertedClick,Double,,Metric,
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,,Metric,
ValuePerConvManyPerClick,Value / conv.,valueConv,Double,,Metric,
ViewThroughConversions,View-through conv.,viewThroughConv,Long,,Metric,
Week,Week,week,String,,Segment,"Prevents zero-impression rows from being returned.
"
Year,Year,year,Integer,,Segment,"Prevents zero-impression rows from being returned.
"
