Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AdGroupCount,Ad Groups,adGroups,Integer,False,True,,Metric,"The count of AdGroup objects using the bidding strategy.
"
AdGroupCriteriaCount,Keywords,keywords,Integer,True,True,,Metric,"The count of AdGroupCriterion objects using the bidding strategy or label.
"
AverageCpc,Avg. CPC,avgCPC,Money,True,True,,Metric,"The total cost of all clicks divided by the total number of clicks received.
"
AverageCpm,Avg. CPM,avgCPM,Money,True,True,,Metric,"Average Cost-per-thousand impressions (CPM).
"
AveragePosition,Avg. position,avgPosition,Double,True,True,,Metric,"Your ad's position relative to those of other advertisers.
"
CampaignCount,Campaigns,campaigns,Integer,False,True,,Metric,"The count of Campaign objects using the bidding strategy.
"
ClickConversionRate,Click conversion rate,clickConversionRate,Double,True,True,,Metric,
Clicks,Clicks,clicks,Long,True,True,,Metric,"The number of clicks.
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,True,True,,Metric,"The number of conversions divided by total clicks that can be tracked to conversions. Percentage returned as ""x.xx%"".
"
ConversionValue,Total conv. value,totalConvValue,Double,True,True,,Metric,"The sum of conversion values for all conversions.
"
ConversionsManyPerClick,Conversions,conversions,Long,True,True,,Metric,"This column reports total conversions, across all the conversion actions you're tracking. How you've chosen to count your conversions (unique or all) affects the number shown in this column.
"
ConvertedClicks,Converted clicks,convertedClicks,Long,True,True,,Metric,
Cost,Cost,cost,Money,True,True,,Metric,"The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period. Other costs such as cost-per-call aren't included. For a sum of all costs, use the TotalCost column.
"
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,True,True,,Metric,
CostPerConvertedClick,Cost / converted click,costConvertedClick,Money,True,True,,Metric,
Ctr,CTR,ctr,Double,True,True,,Metric,"The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions). Percentage returned as ""x.xx%"".
"
Date,Day,day,Date,True,True,,Segment,"The date formatted as yyyy-MM-dd.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,True,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"The name of the day of the week, e.g., ""Monday"".
Predicate values / display values:
MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
"
Device,Device,device,DeviceType,True,True,"UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
",Segment,"Predicate values / display values:
UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
"
HourOfDay,Hour of day,hourOfDay,Integer,True,False,,Segment,"The hour of day as a number between 0 and 23, inclusive.
"
Id,Bid Strategy ID,bidStrategyID,Long,True,True,,Attribute,
Impressions,Impressions,impressions,Long,True,True,,Metric,"Count of how often your ad has appeared on a search results page or website on the Google Network.
"
Month,Month,month,String,True,True,,Segment,"The first day of the month, formatted as yyyy-MM-dd.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,True,True,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"The name of the month of the year, e.g., ""December"".
Predicate values / display values:
JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
"
Name,Bid Strategy Name,bidStrategyName,String,True,True,,Attribute,"The name of the main object in this row. For example, in a Campaign Performance Report this will be the name of each row's Campaign. In an Ad Group Performance Report this will be the name of each row's AdGroup.
"
NonRemovedAdGroupCount,Non-Removed Ad Groups,nonRemovedAdGroups,Integer,False,True,,Metric,
NonRemovedAdGroupCriteriaCount,Non-Removed Keywords,nonRemovedKeywords,Integer,False,True,,Metric,
NonRemovedCampaignCount,Non-Removed Campaigns,nonRemovedCampaigns,Integer,False,True,,Metric,
PageOnePromotedBidCeiling,Bid limit (Target search page location),bidLimitTargetSearchPageLocation,Money,True,True,,Attribute,
PageOnePromotedBidChangesForRaisesOnly,Bid automation (Target search page location),bidAutomationTargetSearchPageLocation,Boolean,False,True,,Attribute,
PageOnePromotedBidModifier,Bid adjustment (Target search page location),bidAdjustmentTargetSearchPageLocation,Double,False,True,,Attribute,
PageOnePromotedRaiseBidWhenBudgetConstrained,Limited budgets (Target search page location),limitedBudgetsTargetSearchPageLocation,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,"Predicate values / display values:
TRUE / true
FALSE / false
"
PageOnePromotedRaiseBidWhenLowQualityScore,Low quality keywords (Target search page location),lowQualityKeywordsTargetSearchPageLocation,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,"Predicate values / display values:
TRUE / true
FALSE / false
"
PageOnePromotedStrategyGoal,Location (Target search page location),locationTargetSearchPageLocation,StrategyGoal,False,True,,Attribute,
Quarter,Quarter,quarter,String,True,True,,Segment,"The first day of the quarter, formatted as yyyy-MM-dd. Uses the calendar year for quarters, e.g., the second quarter of 2014 starts on 2014-04-01.
"
Status,State,state,BiddingStrategyStatus,True,True,"ENABLED / Enabled
REMOVED / Removed
UNKNOWN / unknown
",Attribute,"The status of the main object in this row. For example, in a Campaign Performance Report this will be the status of each row's Campaign. In an Ad Group Performance Report this will be the status of each row's AdGroup.
Predicate values / display values:
ENABLED / Enabled
REMOVED / Removed
UNKNOWN / unknown
"
TargetCpa,Target CPA,targetCPA,Money,False,True,,Attribute,
TargetCpaMaxCpcBidCeiling,Upper Bid limit (Target CPA),upperBidLimitTargetCPA,Money,True,True,,Attribute,
TargetCpaMaxCpcBidFloor,Lower Bid limit (Target CPA),lowerBidLimitTargetCPA,Money,True,True,,Attribute,
TargetOutrankShare,Target outranking share,targetOutrankingShare,Integer,True,True,,Attribute,
TargetOutrankShareBidChangesForRaisesOnly,Bid automation (Target Outranking Share),bidAutomationTargetOutrankingShare,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,"Predicate values / display values:
TRUE / true
FALSE / false
"
TargetOutrankShareCompetitorDomain,Competitor domain (Target Outranking Share),competitorDomainTargetOutrankingShare,String,True,True,,Attribute,
TargetOutrankShareMaxCpcBidCeiling,Upper Max Cpc Bid limit (Target Outranking Share),upperMaxCpcBidLimitTargetOutrankingShare,Money,True,True,,Attribute,
TargetOutrankShareRaiseBidWhenLowQualityScore,Low quality keywords (Target Outranking Share),lowQualityKeywordsTargetOutrankingShare,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,"Predicate values / display values:
TRUE / true
FALSE / false
"
TargetRoas,Target ROAS,targetROAS,Double,False,True,,Attribute,"The desired revenue (based on conversion data) per unit of spend for the TargetRoas BiddingStrategyConfiguration.
"
TargetRoasBidCeiling,Upper Bid limit (Target ROAS),upperBidLimitTargetROAS,Money,True,True,,Attribute,"Maximum bid limit that applies to all keywords managed by the TargetRoas BiddingStrategyConfiguration.
"
TargetRoasBidFloor,Lower Bid limit (Target ROAS),lowerBidLimitTargetROAS,Money,True,True,,Attribute,"Minimum bid limit that applies to all keywords managed by the TargetRoas BiddingStrategyConfiguration.
"
TargetSpendBidCeiling,Bid limit (Maximize clicks),bidLimitMaximizeClicks,Money,True,True,,Attribute,"The largest max CPC bid that can be set by the TargetSpend BiddingStrategyConfiguration.
"
TargetSpendSpendTarget,Target spend (Maximize clicks),targetSpendMaximizeClicks,Money,True,True,,Attribute,"The spend target under which to maximize clicks. Specified by the TargetSpend BiddingStrategyConfiguration.
"
Type,Bid Strategy Type,bidStrategyType,BiddingStrategyType,True,True,"BUDGET_OPTIMIZER / auto
CONVERSION_OPTIMIZER / max/target cpa
MANUAL_CPC / cpc
MANUAL_CPM / cpm
PAGE_ONE_PROMOTED / Target search page location
TARGET_SPEND / Maximize clicks
ENHANCED_CPC / Enhanced CPC
TARGET_CPA / Target CPA
TARGET_ROAS / Target ROAS
TARGET_OUTRANK_SHARE / Target Outranking Share
NONE / None
UNKNOWN / unknown
",Attribute,"The type of the main object in this row. For example, in a Bid Goal Performance Report this will be the type of the BiddingStrategyConfiguration. In a Shared Set Report this will be the type of the SharedSet.
Predicate values / display values:
BUDGET_OPTIMIZER / auto
CONVERSION_OPTIMIZER / max/target cpa
MANUAL_CPC / cpc
MANUAL_CPM / cpm
PAGE_ONE_PROMOTED / Target search page location
TARGET_SPEND / Maximize clicks
ENHANCED_CPC / Enhanced CPC
TARGET_CPA / Target CPA
TARGET_ROAS / Target ROAS
TARGET_OUTRANK_SHARE / Target Outranking Share
NONE / None
UNKNOWN / unknown
"
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,True,True,,Metric,"The total value of all conversions divided by the total number of conversions.
"
ValuePerConvertedClick,Value / converted click,valueConvertedClick,Double,True,True,,Metric,
ViewThroughConversions,View-through conv.,viewThroughConv,Long,True,True,,Metric,"The value, on average, of your total estimated conversions.
"
Week,Week,week,String,True,True,,Segment,"The date for the Monday of the week, formatted as yyyy-MM-dd.
"
Year,Year,year,Integer,True,True,,Segment,"The year, formatted as yyyy.
"
